Date,IBOVESPA (BRAZIL),IPC (MEXICO),MERVAL (ARGENTINA),AEX (NETHERLANDS),ATHEX COMPOSITE (GREECE),BEL-20 (BELGIUM),BET INDEX (ROMANIA),BUX (HUNGARY),CAC 40 (FRANCE),DAX (GERMANY),FTSE MIB (ITALY),OMX HELSINKI INDEX (FINLAND),IBEX INDEX (SPAIN),OMX ICELAND (ICELAND),OMX RIGA INDEX (LATVIA),OMX S30 (SWEDEN),OMX TALLINN INDEX (ESTONIA),OMX VILNIUS INDEX (LITHUANIA),OSE ALL SHARE INDEX (NORWAY),PSI 20 INDEX (PORTUGAL),PX INDEX (CZECH),SAX INDEX (SLOVAKIA),SWISS MARKET INDEX (SWITZERLAND),SOFIX INDEX (BULGARIA),UK 100 CFD (UK),UX INDEX (UKRAINE),XU 100 (TURKEY),ALL ORDINARIES (AUSTRALIA),HSI (HONG KONG),JAKARTA COMPOSITE INDEX (INDONESIA),KLSE (MALAYSIA),KOSPI INDEX (SOUTH KOREA),NIKKEI 225 (JAPAN),NZX 50 (NEW ZEALAND),PSEI (PHILIPPINE),SET INDEX (THAILAND),SCI (CHINA),SENSEX 30 INDEX (INDIA),STI (SINGAPORE),TAIEX INDEX (TAIWAN),ATX (AUSTRIA),MOEX INDEX (RUSSIA),SHENZHEN COMPONENT (CHINA),VN INDEX (VIETNAM),Karachi100 (PAKISTAN),CSE (SRI LANKA),COLCAP (COLOMBIA),S&P LIMA (PERU),IPSA (CHILE),BIRS (BOSNIA),ISEQ (IRELAND),WIG20 (POLAND),OMXC20 (DENMARK),CROBEX (CROATIA),BELEX15 (SERBIA),JTOPI (SOUTH AFRICA),NSX (NAMIBIA),MASI (MOROCCO),TUNINDEX (TUNISIA),LSE (ZAMBIA),S&P/TSX (CANADA),NASDAQ (USA),NYSE Composite (USA),AMSE (JORDAN),TASI (SAUDI ARABIA),QE GENERAL (QATAR),ADX (UNITED ARAB EMIRATES),TA35 (ISRAEL),BSE (BAHRAIN),MSM 30 (OMAN),EGX 30 (EGYPT)
1/6/2015,53031.32,44760.1,10758.37,492.25,825.38,3700.43,7513.85,22312.2,5025.3,11436.05,23435.67,8642.55,11238.1,1094.87,447.18,1649.59,866.49,501.22,693.17,5837.5,1028.08,251.34,9267.44,486.04,6953.58,1011.22,804.29,5733.96,27597.16,5213.82,1743.41,2102.37,20569.87,5844.95,7670.37,1496.05,4828.74,27848.99,3392.11,9632.85,2554.280029,1616.939941,16917.5293,593.61,33563.38,7195.19,1301.17,13048.17,4004.96,728.82,6274.6,2437.09,989.39,1746.19,705.72,46180.49,1114.1,9687.63,5633.23,5918.66,15074.13,5082.93,11061.7,2190.38,9693.58,12176.49,4561.36,1694.25,1360.41,6411.15,8745.04
2/6/2015,54236.43,44931.48,11484.65,486.5,804.96,3689.59,7537.86,22386.48,5004.46,11328.8,23576.16,8658.54,11271.4,1107.39,444.8,1638.65,865.68,503.77,699.49,5879.8,1019.59,250.35,9204.09,489.17,6928.27,1022.05,814.2,5639.93,27466.72,5213.82,1741.37,2078.64,20543.19,5863.74,7551.96,1476.87,4910.53,27188.38,3340.75,9614.26,2578.590088,1643.410034,17485.58008,588.63,33895.34,7195.19,1309.26,13224.93,3986.11,737.83,6170.29,2408.73,983.15,1743.08,701.6,46377.77,1123.2,9674.37,5650.46,5922.62,15104.74,5076.52,11080.9,2187.57,9716.71,12184.8,4589.78,1693,1362.53,6457.53,8847.59
3/6/2015,53522,44732.78,11200.32,487.74,838.22,3721.76,7539.09,22389.83,5034.17,11419.62,23608.83,8665.33,11267.6,1103.26,446.69,1641.69,867.39,502.26,703.62,5936.78,1017.31,247.84,9253.3,490.45,6950.46,1019.89,833.94,5588.33,27657.47,5130.5,1749.17,2063.16,20473.51,5858.71,7561.67,1482.07,4909.98,26837.2,3349.84,9556.52,2612.350098,1628.869995,17538.5,585.6,33908.62,7149.46,1311.78,13088.81,3994.46,737.04,6185.33,2388.93,984.54,1733.51,704.63,46083.96,1115.2,9701.77,5659.55,5918.66,15154.68,5099.23,11107.9,2184.96,9678.75,12182.09,4589.24,1704.92,1362.2,6467.7,8905.6
4/6/2015,53522,44561.11,11245.93,485.29,827.12,3692.07,7484.45,22303.77,4987.13,11340.6,23336.5,8591.91,11146.1,1096.15,445.47,1625.02,863.5,501.95,696.65,5872.98,1018.76,247.86,9233.65,488.07,6859.24,988.52,824.99,5511.31,27551.89,5095.82,1741.48,2072.86,20488.19,5865.44,7553.65,1490.9,4947.1,26813.42,3345,9348.63,2612.350098,1638.069946,17501.05078,587.48,34085.74,7120.91,1309.09,13053.03,3952.84,737.04,6142.78,2388.93,977.94,1733.51,698.33,45585.39,1102.9,9733.46,5654.59,5845.57,15019.39,5059.12,11000.4,2186.64,9668.1,12092.25,4587.23,1696.74,1367.06,6462,8780.76
5/6/2015,52973,44561.94,11215.76,479.38,786.11,3646.69,7442.59,22326.95,4920.74,11197.15,22847.34,8479.16,11062,1090.06,446.51,1606.46,869.43,500.38,697.58,5804.53,1004.89,248.89,9105.02,490.3,6804.6,992.13,819.43,5506.5,27260.16,5100.57,1745.33,2068.1,20460.9,5867.9,7526.7,1507.37,5023.1,26768.49,3333.67,9340.13,2544.669922,1652.069946,17649.08984,592.22,34012.49,7122.73,1320.31,13052,3967.03,735.93,6102.48,2365.58,977.94,1742.06,697.78,45993.24,1111.6,9736.55,5650.69,5845.57,14957.16,5068.46,10979.3,2183.64,9588.01,11981.98,4553.97,1703.32,1366.51,6454.35,8728.87
8/6/2015,52809.64,44544.05,11200.76,475.13,764.63,3621.89,7408.11,21842.67,4857.66,11064.92,22642.29,8378.38,10917.3,1102.58,447.08,1589.57,855.94,499.27,698.66,5649.8,996.82,250.15,9060.49,488.48,6790.04,1009.71,778.05,5506.5,27316.28,5014.99,1739.45,2065.19,20457.19,5885.81,7484.89,1508.28,5131.88,26523.09,3320.33,9368.43,2500.97998,1646.890015,17452.31055,594.51,34151.11,7078.66,1320.31,12985.77,3946.98,734.67,6081.87,2354.26,960.47,1737.02,697.36,45942.67,1112.7,9723.73,5647.31,5845.57,14743.33,5021.63,10917.8,2175.36,9532.48,11903.08,4563.9,1707.38,1365.07,6464.39,8672.33
9/6/2015,52815.99,44519.21,11382.01,474.7,769.37,3609.88,7394.95,22036.05,4850.22,11001.29,22527.46,8350.1,10938.1,1114.43,444.8,1587.84,854.45,498.08,690.65,5649,991.66,249.09,8980.22,489.47,6753.8,1017.41,781.46,5479.72,26989.52,4899.88,1729.05,2064.03,20096.3,5862.11,7323.44,1492.32,5113.53,26481.25,3295.13,9265.45,2502.800049,1664.01001,17399,593.36,34270.28,7067.11,1319.23,12946.18,3906.62,734.67,6058.3,2338.65,953.58,1744.8,696.26,45395.91,1097.1,9595.92,5613.83,5846.18,14817.71,5013.86,10915.6,2164.5,9490.88,11943.5,4583.7,1691.56,1368.39,6474.52,8660.93
10/6/2015,53876.45,44578.28,11364.77,481.45,761.05,3663.76,7399.62,21964.72,4934.91,11265.39,23091.49,8451.07,11097.5,1104.77,444.76,1610.38,851.98,498.58,691.91,5781.65,1006.06,251.28,9102.7,490.88,6830.27,1021.68,797.48,5485.99,26687.64,4933.56,1735.63,2051.32,20046.36,5803.87,7384.27,1504.04,5106.04,26840.5,3325.77,9298.5,2546.409912,1653.089966,17677.57031,595.06,34323.84,7063.45,1323.54,13003.88,3956.19,734.67,6153.96,2384.49,975.36,1751.4,691.62,46252.64,1119,9593,5629.52,5849.13,14889.04,5076.69,11058,2163.8,9541.58,11836.95,4590.47,1686.02,1369.89,6473.05,8639.43
11/6/2015,53688.52,44624.74,11363.86,484.88,823.16,3672.07,7329.89,22215.74,4971.37,11332.78,23172.34,8491.27,11156.7,1104.95,443.72,1604.89,854.95,500.31,693.93,5848.66,1008.37,254.16,9146.3,491.56,6846.74,1025.33,808.45,5562.6,26907.85,4928.81,1734.76,2056.61,20382.97,5858.41,7503.72,1514.81,5121.59,26370.98,3347.67,9313.5,2527.340088,1652.23999,17889.68945,601.4,34594.7,7051.52,1333.75,13007.1,3967.39,717.62,6246.02,2383.87,979.05,1753.91,695.26,46149.59,1115.8,9603.03,5605.17,5838.76,14830.88,5082.51,11080.5,2154.77,9518.38,11879.56,4555.29,1697.13,1367.61,6482.34,8626.46
12/6/2015,53347.53,44692.5,11364.05,477.76,774.46,3631.76,7365.12,21879.14,4901.19,11196.49,22877.81,8384.44,11030.5,1108.9,444.94,1597.33,852.54,501.1,683.71,5761.12,991.13,255.31,9026.43,488.82,6784.92,1009.89,805.33,5552.14,27280.54,4935.82,1734.37,2052.17,20407.08,5846.97,7503.72,1508.23,5166.35,26460.45,3353.85,9301.93,2494.030029,1652.23999,18098.26953,604.29,34651.29,7061.28,1330.18,13022.36,3957.42,718.71,6210.08,2358.73,970.74,1753.91,692.7,46129.91,1106.7,9647.75,5632.63,5842.71,14741.15,5051.1,11009.9,2147.62,9644.57,11858.32,4542.33,1691.66,1367.31,6488.82,8534.13
